Filename,Dataset Group,Tomato Leaf Category
input/final_dataset/train/Target_Spot/train_Target_Spot_image_0.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_1.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_2.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_3.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_4.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_5.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_6.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_7.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_8.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_9.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_10.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_11.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_12.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_13.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_14.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_15.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_16.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_17.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_18.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_19.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_20.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_21.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_22.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_23.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_24.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_25.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_26.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_27.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_28.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_29.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_30.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_31.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_32.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_33.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_34.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_35.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_36.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_37.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_38.png,Train,Target Spot
input/final_dataset/train/Target_Spot/train_Target_Spot_image_39.png,Train,Target Spot
